timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2024-09-02T1400,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,,37,20,25,3,7,116,,74,74,8,11,7,7,0,0
2024-09-02T1400,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,39,9,15,3,9,122,,79,79,8,6,5,4,0.3,0.4
2024-09-02T1400,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,,,12,6,10,117,,78,78,8,9,,5,0.4,0.4
2024-09-02T1400,2695A,80.292,41.1694,阿克苏地区,电视台,颗粒物(PM10),63,76,79,26,27,127,,81,81,12,16,4,5,0.3,0.4
2024-09-02T1400,2696A,80.2613,41.1551,阿克苏地区,艺术中心,颗粒物(PM10),55,60,68,14,22,125,,66,64,8,14,3,4,0.3,0.5
2024-09-02T1400,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,,48,48,27,11,12,134,,89,89,12,15,12,9,1.3,1.3
2024-09-02T1400,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,,38,16,20,14,12,119,,82,82,10,13,12,10,0.7,0.7
2024-09-02T1400,2206A,105.724,38.8516,阿拉善盟,环保局新楼,,38,26,18,14,10,120,,81,81,9,11,12,10,0.7,0.6
2024-09-02T1400,2708A,88.1264,47.8517,阿勒泰地区,市站,,28,15,15,3,6,87,,69,57,9,9,8,7,0.4,0.5
2024-09-02T1400,2630A,80.1161,32.5,阿里地区,阿里监测站,,31,6,7,3,4,97,,76,69,2,10,10,10,0.3,0.3
2024-09-02T1400,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,,9,12,,1,89,,78,66,3,7,6,6,0.3,0.3
2024-09-02T1400,2642A,109.0318,32.6537,安康市,香溪洞,,,73,47,27,19,112,,81,81,5,7,,7,0.5,0.5
2024-09-02T1400,2643A,109.0281,32.6939,安康市,安康市监测站,,44,44,32,18,21,107,,74,74,4,10,8,10,0.8,0.7
2024-09-02T1400,2644A,109.0072,32.6975,安康市,汉滨区检察院,,45,45,31,29,20,114,,81,81,4,8,7,7,0.7,0.7
2024-09-02T1400,2291A,117.0809,30.5177,安庆市,环科院,,45,,46,30,34,142,,101,101,12,38,12,10,0.7,0.9
2024-09-02T1400,2292A,117.0331,30.5119,安庆市,马山宾馆,,38,20,44,18,34,121,,97,97,6,34,14,9,0.6,0.8
2024-09-02T1400,2294A,116.9896,30.6145,安庆市,安庆大学,,43,28,43,23,30,135,,98,98,8,14,9,8,0.7,0.8
2024-09-02T1400,3173A,117.0598,30.5351,安庆市,市人大,,43,,41,29,36,136,,111,111,12,19,11,8,1.2,1.3
2024-09-02T1400,3122A,105.9606,26.2611,安顺市,伍家关,,,,,,,,,,,,,,,,
2024-09-02T1400,3123A,105.9408,26.2431,安顺市,凤凰山,,31,31,26,16,13,52,,50,50,4,5,8,9,0.8,0.6
2024-09-02T1400,3124A,105.9439,26.2564,安顺市,金钟山,,30,30,20,13,13,58,,53,53,5,4,5,6,0.5,0.4
2024-09-02T1400,3125A,105.8983,26.2481,安顺市,娄家坡,,22,19,14,15,11,59,,54,54,4,4,4,5,0.6,0.6
2024-09-02T1400,1818A,114.4839,36.0621,安阳市,棉研所,,,,,,,,,,,,,,,,
2024-09-02T1400,1819A,114.3551,36.1017,安阳市,红庙街,,28,14,31,8,14,87,,81,79,2,2,4,4,0.2,0.3
2024-09-02T1400,1820A,114.361,36.0681,安阳市,银杏小区,,,22,38,,,86,,86,78,2,2,3,3,0.4,0.5
2024-09-02T1400,3141A,114.3922,36.0878,安阳市,信访局,颗粒物(PM10),51,52,35,8,9,90,,90,82,2,2,4,3,0.4,0.5
2024-09-02T1400,3669A,114.4705,36.0637,安阳市,左辅环卫站,,37,37,43,6,14,86,,88,81,3,6,4,5,0.5,0.6
2024-09-02T1400,3703A,114.2917,36.0949,安阳市,安钢职工学校,,,15,37,9,18,86,,77,76,,9,6,7,0.3,0.6
2024-09-02T1400,1748A,123.044,41.1196,鞍山市,深沟寺,,30,15,15,7,7,94,,64,64,8,12,6,5,0.5,0.5
2024-09-02T1400,1749A,123.011,41.0931,鞍山市,太阳城,,30,14,16,3,6,96,,,,7,10,6,5,0.4,0.3
2024-09-02T1400,1750A,123.0485,41.1442,鞍山市,太平,,31,19,17,7,5,97,,66,66,11,15,8,6,0.4,0.5
2024-09-02T1400,1751A,122.9642,41.0971,鞍山市,铁西三道街,,31,21,32,3,12,97,,62,62,11,25,10,21,0.6,1.4
2024-09-02T1400,1752A,122.9341,41.0833,鞍山市,铁西工业园区,,31,28,26,7,10,97,,58,58,17,24,19,27,0.9,1.6
2024-09-02T1400,1753A,123.022,41.0821,鞍山市,明达新区,,28,16,18,8,6,89,,61,61,8,11,6,5,0.4,0.4
2024-09-02T1400,1754A,123.1289,41.0228,鞍山市,千山,,,,,,,,,,,,,,,,
2024-09-02T1400,2195A,107.4212,40.761,巴彦淖尔市,附二中,,38,34,47,9,18,119,,71,71,4,14,87,30,0.4,0.5
2024-09-02T1400,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,,38,31,40,23,10,120,,73,73,3,12,6,6,0.5,0.5
2024-09-02T1400,1956A,86.1472,41.7538,巴音郭楞蒙古自治州,孔雀公园,颗粒物(PM10),73,95,114,32,32,104,,82,82,10,29,6,6,0.2,0.3
